_jaa_	<placeholder>	_ja_
_ich_wän_das_ich_geboore_bì_	<placeholder>	_ich_wann_dass_ich_geboren_bin_
_s_ìch_bin_am_sächsezwänzgischte_jänner_nünzehundertzwölf_gibore_	<placeholder>	_es_ich_bin_am_sechsundzwanzigsten_januar_neunzehnhundertzwölf_geboren_
_und_zwaar_bin_ììch_in_wolfeschiesse_mii_vatter_und_mi_mueter_sind_wolfeschiesser_bürger_gsi_	<placeholder>	_und_zwar_bin_ich_in_wolfenschiessen_mein_vater_und_meine_mutter_sind_wolfenschiesser_bürger_gewesen_
_und_deen_mit_füüf_jaare_sim_mir_nach_schtans_cho_	<placeholder>	_und_dann_mit_fünf_jahren_sind_wir_nach_stans_gekommen_
_und_daa_bin_ìch_i_d_schuel_sächs_jaar_und_nach_sächs_jaar_schuel_	<placeholder>	_und_da_bin_ich_in_die_schule_sechs_jahre_und_nach_sechs_jahren_schule_
_het_mer_müesse_s_pünteli_phaken_und_sis_broot_verdiene_	<placeholder>	_hat_man_müssen_das_bündelchen_packen_und_sein_brot_verdienen_
_mir_sind_mi_mueter_isch_am_zääte_chind_gschtorbe_	<placeholder>	_wir_sind_meine_mutter_ist_am_zehnten_kind_gestorben_
_ja_ìch_bì_de_füfze_järig_gsii_wo_si_gschtorben_isch_	<placeholder>	_ja_ich_bin_dann_fünfzehn_jährig_gewesen_wo_sie_gestorben_ist_
_und_de_vatter_het_de_huishalt_uufglööst_	<placeholder>	_und_der_vater_hat_den_haushalt_aufgelöst_
_und_	<placeholder>	_und_
_mir_sind_alli_di_chliine_gschwüschterti_sind_zu_verwante_choo_	<placeholder>	_wir_sind_alle_die_kleinen_geschwister_sind_zu_verwandten_gekommen_
_und_mi_mueter_ììch_bi_zeersch_bi_miner_mueter_gsìì_am_schtärbebet_wil_	<placeholder>	_und_meine_mutter_ich_bin_zuerst_bei_meiner_mutter_gewesen_am_sterbebett_weil_
_ììch_bì_gad_z_schtanz_schoo_innere_schteu_gsii_	<placeholder>	_ich_bin_gerade_zu_stans_schon_in_einer_stelle_gewesen_
_ùnd_het_di_hebam_prichtet_di_mueter_isch_schwäär_di_mueter_mues_schtäärbe_s_isch_zwee_wuche_nach_der_geburt_gsi_	<placeholder>	_und_hat_die_hebamme_berichtet_die_mutter_ist_schwer_die_mutter_muss_sterben_es_ist_zwei_wochen_nach_der_geburt_gewesen_
_nä_bin_ìch_i_das_schpitaal_ùnd_de_han_ìch_i_der_mueter_verschpräche_miesse_	<placeholder>	_nachher_bin_ich_in_das_spital_und_dann_habe_ich_in_der_mutter_versprechen_müssen_
_das_mir_e_käs_chind_is_waissehuis_tiegid_ùnd_zämeschtaa_	<placeholder>	_dass_wir_e_kein_kind_ins_waisenhaus_tuen_und_zusammenstehen_
_ùnd_ùnd_im_vatter_hälffe_ùnd_fir_die_chind_bi_de_verwante_zaale_	<placeholder>	_und_und_dem_vater_helfen_und_für_die_kinder_bei_den_verwandten_zahlen_
_und_das_häm_mir_verschproche_und_	<placeholder>	_und_das_haben_wir_versprochen_und_
_ìch_bì_ja_da_s_füfti_chind_gsìì_zeersch_sind_zwee_bueben_und_denaa_sächs_maitli_und_wider_e_bueb_und_wider_es_maitschi_ùnd_de_	<placeholder>	_ich_bin_ja_damals_das_fünfte_kind_gewesen_zuerst_sind_zwei_buben_und_danach_sechs_mädchen_und_wieder_ein_bub_und_wieder_ein_mädchen_und_dann_
_de_isch_ja_d_mueter_gschtorbe_zwee_wuchen_nachhär_	<placeholder>	_dann_ist_ja_die_mutter_gestorben_zwei_wochen_nachher_
